Id,Weekly_Sales
1_1_2012-11-02,31741.55330000004
1_1_2012-11-09,20853.53559999999
1_1_2012-11-16,19486.074299999982
1_1_2012-11-23,20275.14349999999
1_1_2012-11-30,24918.257499999996
1_1_2012-12-07,31747.530199999976
1_1_2012-12-14,45597.78519999997
1_1_2012-12-21,50462.69110000001
1_1_2012-12-28,20508.673999999985
1_1_2013-01-04,16926.38879999998
1_1_2013-01-11,17070.809799999985
1_1_2013-01-18,17768.738599999997
1_1_2013-01-25,18072.98589999999
1_1_2013-02-01,26383.272600000044
1_1_2013-02-08,37972.609700000045
1_1_2013-02-15,49365.58740000003
1_1_2013-02-22,20949.267399999997
1_1_2013-03-01,20776.060199999996
1_1_2013-03-08,21295.588999999985
1_1_2013-03-15,21547.926299999977
1_1_2013-03-22,22275.580299999983
1_1_2013-03-29,18455.5095
1_1_2013-04-05,34905.89250000003
1_1_2013-04-12,17064.697099999994
1_1_2013-04-19,14976.459199999988
1_1_2013-04-26,15373.128900000003
1_1_2013-05-03,19953.456999999977
1_1_2013-05-10,19695.52939999998
1_1_2013-05-17,19127.296299999998
1_1_2013-05-24,18740.487100000002
1_1_2013-05-31,18678.045000000002
1_1_2013-06-07,19054.565200000005
1_1_2013-06-14,18820.0294
1_1_2013-06-21,18729.978199999994
1_1_2013-06-28,18625.309100000002
1_1_2013-07-05,19091.4949
1_1_2013-07-12,19136.4559
1_1_2013-07-19,19060.071799999998
1_1_2013-07-26,18795.200500000006
1_2_2012-11-02,46606.37010000001
1_2_2012-11-09,45928.19530000003
1_2_2012-11-16,42972.73550000001
1_2_2012-11-23,44204.72919999998
1_2_2012-11-30,44216.490799999985
1_2_2012-12-07,46845.19200000001
1_2_2012-12-14,53903.48449999999
1_2_2012-12-21,60333.02490000005
1_2_2012-12-28,43757.50959999999
1_2_2013-01-04,45892.6818
1_2_2013-01-11,44817.63500000001
1_2_2013-01-18,44202.114700000035
1_2_2013-01-25,43002.45030000001
1_2_2013-02-01,50147.67130000002
1_2_2013-02-08,49405.60579999998
1_2_2013-02-15,46366.48890000004
1_2_2013-02-22,46165.6357714286
1_2_2013-03-01,50242.527799999974
1_2_2013-03-08,48724.8867
1_2_2013-03-15,45880.62160000002
1_2_2013-03-22,45519.97286740079
1_2_2013-03-29,45952.302915178574
1_2_2013-04-05,49495.81969999996
1_2_2013-04-12,45571.12050000002
1_2_2013-04-19,45175.77087851194
1_2_2013-04-26,45507.414063649616
1_2_2013-05-03,49277.44229999997
1_2_2013-05-10,47438.69756666665
1_2_2013-05-17,45407.18210694329
1_2_2013-05-24,45529.919192975016
1_2_2013-05-31,46935.29167499998
1_2_2013-06-07,48191.56296666665
1_2_2013-06-14,45184.7026189076
1_2_2013-06-21,45528.07664630837
1_2_2013-06-28,45629.775157221055
1_2_2013-07-05,48290.93536666668
1_2_2013-07-12,45226.909385574254
1_2_2013-07-19,45152.35512599093
1_2_2013-07-26,45386.2304857925
1_3_2012-11-02,9677.965266666672
1_3_2012-11-09,9552.092966666673
1_3_2012-11-16,9483.882166666674
1_3_2012-11-23,9875.511300000006
1_3_2012-11-30,9916.488000000005
1_3_2012-12-07,11232.838100000004
1_3_2012-12-14,12164.903400000003
1_3_2012-12-21,12390.874199999993
1_3_2012-12-28,8677.498199999996
1_3_2013-01-04,13265.617300000009
1_3_2013-01-11,13154.926400000004
1_3_2013-01-18,12347.3493
1_3_2013-01-25,11449.052100000006
1_3_2013-02-01,12076.760400000017
1_3_2013-02-08,12076.029000000006
1_3_2013-02-15,11179.535800000012
1_3_2013-02-22,11152.834200000005
1_3_2013-03-01,11678.671700000014
1_3_2013-03-08,11752.831699999988
1_3_2013-03-15,9143.346233333323
1_3_2013-03-22,8952.81632499999
1_3_2013-03-29,9335.852126190466
1_3_2013-04-05,10425.32279999999
1_3_2013-04-12,10037.300783333323
1_3_2013-04-19,9071.592469047611
1_3_2013-04-26,9171.460152380947
1_3_2013-05-03,10112.292799999992
1_3_2013-05-10,9631.767472619038
1_3_2013-05-17,8338.87156190476
1_3_2013-05-24,8054.607584761898
1_3_2013-05-31,8071.297501428563
1_3_2013-06-07,8228.035501428574
1_3_2013-06-14,8072.883533333337
1_3_2013-06-21,7563.999799999999
1_3_2013-06-28,7490.166699999994
1_3_2013-07-05,8152.743119999999
1_3_2013-07-12,15913.776399999999
1_3_2013-07-19,22068.98199999999
1_3_2013-07-26,24260.578999999983
1_4_2012-11-02,39808.60050000004
1_4_2012-11-09,39346.97990000005
1_4_2012-11-16,36264.777600000016
1_4_2012-11-23,44319.14170000003
1_4_2012-11-30,42974.05410000004
1_4_2012-12-07,38982.84120000005
1_4_2012-12-14,39325.35600000007
1_4_2012-12-21,43638.563400000065
1_4_2012-12-28,40302.098400000075
1_4_2013-01-04,40912.38119999999
1_4_2013-01-11,36249.03600000003
1_4_2013-01-18,35753.052300000025
1_4_2013-01-25,35703.84750000003
1_4_2013-02-01,40487.5456
1_4_2013-02-08,40507.71500000001
1_4_2013-02-15,36332.71480000002
1_4_2013-02-22,35917.94890000003
1_4_2013-03-01,40403.21099999999
1_4_2013-03-08,40579.72880000002
1_4_2013-03-15,36387.21750000002
1_4_2013-03-22,35951.703200000025
1_4_2013-03-29,36531.23070000002
1_4_2013-04-05,41283.5407
1_4_2013-04-12,36206.01350000003
1_4_2013-04-19,35935.759400000024
1_4_2013-04-26,35971.46120000003
1_4_2013-05-03,41875.422799999986
1_4_2013-05-10,40361.78504000002
1_4_2013-05-17,38354.91513791667
1_4_2013-05-24,38436.127567083335
1_4_2013-05-31,38737.47726833335
1_4_2013-06-07,41993.40924999999
1_4_2013-06-14,38710.619771250014
1_4_2013-06-21,38480.954079583345
1_4_2013-06-28,38429.89383500002
1_4_2013-07-05,42604.16116666667
1_4_2013-07-12,38697.42197333335
1_4_2013-07-19,38779.90042125001
1_4_2013-07-26,38429.721906666666
1_5_2012-11-02,26277.317499999994
1_5_2012-11-09,26005.009499999993
1_5_2012-11-16,25106.544700000017
1_5_2012-11-23,63454.04560000006
1_5_2012-11-30,58136.23859999998
1_5_2012-12-07,38679.05019999998
1_5_2012-12-14,43192.41510000001
1_5_2012-12-21,57350.571900000024
1_5_2012-12-28,40098.409999999974
1_5_2013-01-04,23590.67480000002
1_5_2013-01-11,21591.162900000014
1_5_2013-01-18,21711.5295
1_5_2013-01-25,23022.596674999982
1_5_2013-02-01,35402.96997499999
1_5_2013-02-08,36308.311850000006
1_5_2013-02-15,35373.62882499999
1_5_2013-02-22,26985.649294999963
1_5_2013-03-01,27505.088044999993
1_5_2013-03-08,26222.48268333333
1_5_2013-03-15,25748.36834999999
1_5_2013-03-22,23760.82749999997
1_5_2013-03-29,23435.548099999996
1_5_2013-04-05,25007.292200000025
1_5_2013-04-12,21288.03259619049
1_5_2013-04-19,20924.59672327381
1_5_2013-04-26,21010.315666666655
1_5_2013-05-03,21260.36596396825
1_5_2013-05-10,21414.278425634904
1_5_2013-05-17,21048.056198966435
1_5_2013-05-24,22181.875688073575
1_5_2013-05-31,21161.169625952363
1_5_2013-06-07,23179.616421199076
1_5_2013-06-14,22793.96752448731
1_5_2013-06-21,23129.44047667347
1_5_2013-06-28,20794.82605095237
1_5_2013-07-05,22011.908270087977
1_5_2013-07-12,21573.731281173834
1_5_2013-07-19,21031.20599383797
1_5_2013-07-26,20023.132053333324
1_6_2012-11-02,3903.455500000002
1_6_2012-11-09,3702.2502000000018
1_6_2012-11-16,3593.6594750000013
1_6_2012-11-23,15716.69070000002
1_6_2012-11-30,13158.298199999994
1_6_2012-12-07,6669.445800000002
1_6_2012-12-14,8416.51780000001
1_6_2012-12-21,16119.109000000019
1_6_2012-12-28,9306.55569999999
1_6_2013-01-04,3389.2045000000016
1_6_2013-01-11,3093.2089000000014
1_6_2013-01-18,2986.3851750000003
1_6_2013-01-25,2860.5042333333336
1_6_2013-02-01,3796.655000000003
1_6_2013-02-08,4106.881200000001
1_6_2013-02-15,3747.5335000000023
1_6_2013-02-22,3688.8409333333348
1_6_2013-03-01,3894.456400000003
1_6_2013-03-08,3625.413300000002
1_6_2013-03-15,3601.2542000000017
1_6_2013-03-22,3628.109533333336
1_6_2013-03-29,3545.374500000001
1_6_2013-04-05,3668.8655000000012
1_6_2013-04-12,3630.3829000000014
1_6_2013-04-19,3699.6262750000024
1_6_2013-04-26,3647.8794333333353
1_6_2013-05-03,4214.7647625731
1_6_2013-05-10,4170.167351144529
1_6_2013-05-17,4281.194372573101
1_6_2013-05-24,4041.0855600731015
1_6_2013-05-31,3972.3987670175457
1_6_2013-06-07,4157.294734694312
1_6_2013-06-14,3984.4932454879636
1_6_2013-06-21,4130.125018128657
1_6_2013-06-28,3940.607861184212
1_6_2013-07-05,3961.1887635832013
1_6_2013-07-12,3745.2921488212965
1_6_2013-07-19,3847.8809925731
1_6_2013-07-26,3700.5408445175444
1_7_2012-11-02,22065.4756
1_7_2012-11-09,22818.705700000013
1_7_2012-11-16,22705.203999999998
1_7_2012-11-23,65303.024899999975
1_7_2012-11-30,56743.273399999955
1_7_2012-12-07,47250.271500000024
1_7_2012-12-14,71373.58750000001
1_7_2012-12-21,114007.26090000011
1_7_2012-12-28,59374.575299999946
1_7_2013-01-04,12185.358400000001
1_7_2013-01-11,10742.117500000004
1_7_2013-01-18,10802.841100000005
1_7_2013-01-25,11199.885600000001
1_7_2013-02-01,16817.173099999985
1_7_2013-02-08,20696.721533333333
1_7_2013-02-15,19558.92280000001
1_7_2013-02-22,18525.854500000005
1_7_2013-03-01,20059.54879999999
1_7_2013-03-08,20556.859833333332
1_7_2013-03-15,20681.179950000012
1_7_2013-03-22,19014.946637500005
1_7_2013-03-29,18975.8047375
1_7_2013-04-05,23117.79530833334
1_7_2013-04-12,22185.796808333358
1_7_2013-04-19,20073.32311500001
1_7_2013-04-26,19558.02885000001
1_7_2013-05-03,22591.109873949583
1_7_2013-05-10,22360.964401190486
1_7_2013-05-17,23067.75469714287
1_7_2013-05-24,29283.093415
1_7_2013-05-31,29675.523715000014
1_7_2013-06-07,31911.381450000015
1_7_2013-06-14,27878.71620000001
1_7_2013-06-21,26129.49364000001
1_7_2013-06-28,25477.651315000003
1_7_2013-07-05,25584.43185
1_7_2013-07-12,20769.03539285712
1_7_2013-07-19,20524.76339285713
1_7_2013-07-26,20238.29224285714
1_8_2012-11-02,41440.09969999999
1_8_2012-11-09,39329.65470000002
1_8_2012-11-16,38765.16790000003
1_8_2012-11-23,36198.507200000015
1_8_2012-11-30,36630.65129999998
1_8_2012-12-07,38245.025899999964
1_8_2012-12-14,37940.503999999964
1_8_2012-12-21,39840.41390000002
1_8_2012-12-28,34281.083799999964
1_8_2013-01-04,41471.66410000001
1_8_2013-01-11,37992.00750000001
1_8_2013-01-18,38002.879199999996
1_8_2013-01-25,38502.135700000006
1_8_2013-02-01,41109.00240000003
1_8_2013-02-08,39820.0098
1_8_2013-02-15,37977.2982
1_8_2013-02-22,37977.418099999995
1_8_2013-03-01,41132.00440000002
1_8_2013-03-08,39750.46749999999
1_8_2013-03-15,37950.91190000001
1_8_2013-03-22,37881.0061
1_8_2013-03-29,38406.528899999976
1_8_2013-04-05,41937.3242
1_8_2013-04-12,38240.9464
1_8_2013-04-19,38247.476699999985
1_8_2013-04-26,38878.765699999996
1_8_2013-05-03,38165.43760000002
1_8_2013-05-10,36352.18172619047
1_8_2013-05-17,36125.91151380955
1_8_2013-05-24,35764.414130476216
1_8_2013-05-31,36401.56588285717
1_8_2013-06-07,37831.10029999999
1_8_2013-06-14,35777.54425952382
1_8_2013-06-21,35829.32126380954
1_8_2013-06-28,35957.9862161905
1_8_2013-07-05,38199.8809
1_8_2013-07-12,35705.83002619047
1_8_2013-07-19,35677.38881380955
1_8_2013-07-26,35347.27716857145
1_9_2012-11-02,44715.77630000002
1_9_2012-11-09,38214.02769999998
1_9_2012-11-16,37035.736200000014
1_9_2012-11-23,40980.708600000005
1_9_2012-11-30,37782.096600000004
1_9_2012-12-07,32829.80229999999
1_9_2012-12-14,34237.70319999998
1_9_2012-12-21,42191.21859999999
1_9_2012-12-28,34803.81520000001
1_9_2013-01-04,20610.4925
1_9_2013-01-11,18666.65090000002
1_9_2013-01-18,17160.38370000001
1_9_2013-01-25,17206.84400000001
1_9_2013-02-01,23767.82520000001
1_9_2013-02-08,25846.259799999996
1_9_2013-02-15,29569.206566666664
1_9_2013-02-22,30844.099666666687
1_9_2013-03-01,33289.611799999984
1_9_2013-03-08,33130.0726
1_9_2013-03-15,34591.29156666665
1_9_2013-03-22,34433.45491666667
1_9_2013-03-29,38747.926116666684
1_9_2013-04-05,34520.49379999997
1_9_2013-04-12,31524.318199999983
1_9_2013-04-19,30613.231716666676
1_9_2013-04-26,32148.184416666663
1_9_2013-05-03,31013.99955999997
1_9_2013-05-10,28801.182300512806
1_9_2013-05-17,28632.95512051282
1_9_2013-05-24,29590.91532051282
1_9_2013-05-31,33960.85396666668
1_9_2013-06-07,31796.421848846137
1_9_2013-06-14,28824.285735512807
1_9_2013-06-21,28635.140218846154
1_9_2013-06-28,28496.002927179477
1_9_2013-07-05,30798.64577884613
1_9_2013-07-12,25298.931699999986
1_9_2013-07-19,25108.293920833323
1_9_2013-07-26,25684.611320833326
1_10_2012-11-02,32009.432799999995
1_10_2012-11-09,30290.183099999977
1_10_2012-11-16,29409.20024999998
1_10_2012-11-23,32292.652899999972
1_10_2012-11-30,31022.942899999976
1_10_2012-12-07,32044.736999999994
1_10_2012-12-14,31770.41969999999
1_10_2012-12-21,32720.77929999997
1_10_2012-12-28,29639.72589999998
1_10_2013-01-04,28753.85660000002
1_10_2013-01-11,25473.7785
1_10_2013-01-18,25068.803200000017
1_10_2013-01-25,24861.90090000001
1_10_2013-02-01,34738.39779999997
1_10_2013-02-08,36377.52799999997
1_10_2013-02-15,35822.51743333332
1_10_2013-02-22,35180.8761333333
1_10_2013-03-01,35573.890600000006
1_10_2013-03-08,34950.27729999999
1_10_2013-03-15,34012.47353333332
1_10_2013-03-22,34319.4583333333
1_10_2013-03-29,37696.084533333305
1_10_2013-04-05,35260.98270000001
1_10_2013-04-12,31434.361613333327
1_10_2013-04-19,30894.37610333333
1_10_2013-04-26,30890.213616666653
1_10_2013-05-03,34478.26351428572
1_10_2013-05-10,32368.157261904773
1_10_2013-05-17,30204.241862662322
1_10_2013-05-24,30746.23952862915
1_10_2013-05-31,33006.890700057724
1_10_2013-06-07,34930.84292619049
1_10_2013-06-14,31070.15914599567
1_10_2013-06-21,30434.343031551227
1_10_2013-06-28,31024.67653934343
1_10_2013-07-05,34762.422976190486
1_10_2013-07-12,31090.769476948044
1_10_2013-07-19,29972.10596785713
1_10_2013-07-26,30203.5614177525
1_11_2012-11-02,25502.097499999996
1_11_2012-11-09,22723.153399999996
1_11_2012-11-16,21818.572499999995
1_11_2012-11-23,29662.52620000002
1_11_2012-11-30,29286.32420000001
1_11_2012-12-07,35661.68600000003
1_11_2012-12-14,30446.641600000024
1_11_2012-12-21,31294.1078
1_11_2012-12-28,26117.2096
1_11_2013-01-04,26000.910699999993
1_11_2013-01-11,26036.222399999984
1_11_2013-01-18,23611.65190000001
1_11_2013-01-25,22510.295400000017
1_11_2013-02-01,25571.977799999982
1_11_2013-02-08,25811.9898
1_11_2013-02-15,25383.098499999993
1_11_2013-02-22,23605.6233
1_11_2013-03-01,25967.806599999993
1_11_2013-03-08,25670.57449999999
1_11_2013-03-15,25277.910699999986
1_11_2013-03-22,24282.497499999994
1_11_2013-03-29,24375.721099999984
1_11_2013-04-05,27035.02309999999
1_11_2013-04-12,25626.361374999997
1_11_2013-04-19,23795.421075
1_11_2013-04-26,23819.159799999994
1_11_2013-05-03,27149.07913333331
1_11_2013-05-10,26696.28900833333
1_11_2013-05-17,24690.81289999999
1_11_2013-05-24,29748.876399999997
1_11_2013-05-31,33989.99210000001
1_11_2013-06-07,35090.13016666669
1_11_2013-06-14,34289.57140000001
1_11_2013-06-21,33423.406933333325
1_11_2013-06-28,37127.460200000016
1_11_2013-07-05,32963.624558333344
1_11_2013-07-12,28739.235513333326
1_11_2013-07-19,28531.60058833333
1_11_2013-07-26,30386.626988333344
1_12_2012-11-02,9530.823200000003
1_12_2012-11-09,9743.9382
1_12_2012-11-16,9182.921099999998
1_12_2012-11-23,8459.932999999999
1_12_2012-11-30,8285.221299999997
1_12_2012-12-07,8008.242999999999
1_12_2012-12-14,7969.516799999996
1_12_2012-12-21,8085.161900000003
1_12_2012-12-28,7960.962700000003
1_12_2013-01-04,9013.882599999995
1_12_2013-01-11,8946.129899999994
1_12_2013-01-18,8843.058499999997
1_12_2013-01-25,8807.461200000002
1_12_2013-02-01,9371.108599999992
1_12_2013-02-08,9376.213399999986
1_12_2013-02-15,10032.583999999988
1_12_2013-02-22,11355.8681
1_12_2013-03-01,11848.422000000002
1_12_2013-03-08,11821.430600000003
