Id,Weekly_Sales
1_1_2012-11-02,33999.63380000004
1_1_2012-11-09,20255.3432
1_1_2012-11-16,19353.84139999999
1_1_2012-11-23,20310.9709
1_1_2012-11-30,25527.798399999992
1_1_2012-12-07,33183.57739999999
1_1_2012-12-14,47334.113999999994
1_1_2012-12-21,50546.965400000016
1_1_2012-12-28,19663.24679999998
1_1_2013-01-04,18332.93509999998
1_1_2013-01-11,18068.290299999986
1_1_2013-01-18,18698.497699999996
1_1_2013-01-25,19017.976599999976
1_1_2013-02-01,26345.171300000024
1_1_2013-02-08,37268.02880000006
1_1_2013-02-15,49540.93940000001
1_1_2013-02-22,20677.80129999999
1_1_2013-03-01,21799.110399999994
1_1_2013-03-08,22162.255199999985
1_1_2013-03-15,21947.811899999975
1_1_2013-03-22,21728.719199999978
1_1_2013-03-29,18074.820299999992
1_1_2013-04-05,33858.034100000026
1_1_2013-04-12,15384.835499999988
1_1_2013-04-19,13841.88419999998
1_1_2013-04-26,14858.157999999989
1_1_2013-05-03,20724.733799999976
1_1_2013-05-10,20400.31929999999
1_1_2013-05-17,19887.590500000006
1_1_2013-05-24,19434.1526
1_1_2013-05-31,19242.548200000005
1_1_2013-06-07,19712.773000000005
1_1_2013-06-14,19432.358500000002
1_1_2013-06-21,19319.837099999997
1_1_2013-06-28,19171.517399999997
1_1_2013-07-05,19684.000600000007
1_1_2013-07-12,19707.140300000006
1_1_2013-07-19,19630.808500000003
1_1_2013-07-26,19444.6079
1_2_2012-11-02,46534.205100000014
1_2_2012-11-09,46052.54030000003
1_2_2012-11-16,43326.91949999995
1_2_2012-11-23,44133.34389999998
1_2_2012-11-30,44678.306099999936
1_2_2012-12-07,46927.7773
1_2_2012-12-14,55125.2976
1_2_2012-12-21,61102.65930000005
1_2_2012-12-28,42833.77959999999
1_2_2013-01-04,45595.604899999984
1_2_2013-01-11,44908.93659999999
1_2_2013-01-18,44406.82990000002
1_2_2013-01-25,43137.39170000001
1_2_2013-02-01,50359.48910000003
1_2_2013-02-08,49434.921699999955
1_2_2013-02-15,46520.36340000002
1_2_2013-02-22,46527.06880000003
1_2_2013-03-01,50130.74209999996
1_2_2013-03-08,48690.103699999985
1_2_2013-03-15,46189.10600000001
1_2_2013-03-22,45744.33138333334
1_2_2013-03-29,46072.07470000002
1_2_2013-04-05,49567.87769999996
1_2_2013-04-12,45161.92103380952
1_2_2013-04-19,45103.04590714286
1_2_2013-04-26,45384.83717380953
1_2_2013-05-03,48491.31979999997
1_2_2013-05-10,46723.2675
1_2_2013-05-17,45112.49794880953
1_2_2013-05-24,45213.02204047619
1_2_2013-05-31,46834.90406666666
1_2_2013-06-07,48014.38863
1_2_2013-06-14,44913.006158809534
1_2_2013-06-21,45288.91188500001
1_2_2013-06-28,45488.911021309534
1_2_2013-07-05,48171.076279999994
1_2_2013-07-12,44865.141692142875
1_2_2013-07-19,44962.846238809536
1_2_2013-07-26,45269.012273333356
1_3_2012-11-02,9690.067200000001
1_3_2012-11-09,9661.475100000007
1_3_2012-11-16,9660.650300000005
1_3_2012-11-23,10049.504700000009
1_3_2012-11-30,10307.313300000003
1_3_2012-12-07,11345.379400000007
1_3_2012-12-14,12296.122200000005
1_3_2012-12-21,12508.520199999992
1_3_2012-12-28,8530.340499999998
1_3_2013-01-04,13235.372700000002
1_3_2013-01-11,12994.4295
1_3_2013-01-18,12248.6357
1_3_2013-01-25,11322.71120000001
1_3_2013-02-01,11839.009700000011
1_3_2013-02-08,11919.701400000002
1_3_2013-02-15,10864.133300000009
1_3_2013-02-22,10757.768200000006
1_3_2013-03-01,11481.774500000007
1_3_2013-03-08,11363.500599999985
1_3_2013-03-15,8838.915566666656
1_3_2013-03-22,8658.93992222221
1_3_2013-03-29,9032.293588888882
1_3_2013-04-05,10200.687099999986
1_3_2013-04-12,9773.076099999986
1_3_2013-04-19,8868.71403888888
1_3_2013-04-26,8969.379055555548
1_3_2013-05-03,10112.64701999999
1_3_2013-05-10,9506.247134285706
1_3_2013-05-17,8083.0580642857085
1_3_2013-05-24,7948.959730952374
1_3_2013-05-31,7954.75179761904
1_3_2013-06-07,8157.8646375
1_3_2013-06-14,8012.446663333333
1_3_2013-06-21,7474.97627
1_3_2013-06-28,7402.280669999996
1_3_2013-07-05,8039.231637499998
1_3_2013-07-12,15689.26589999999
1_3_2013-07-19,23009.255049999992
1_3_2013-07-26,26461.02520000002
1_4_2012-11-02,39955.97210000002
1_4_2012-11-09,39266.508100000035
1_4_2012-11-16,36281.22900000001
1_4_2012-11-23,43335.79010000004
1_4_2012-11-30,43099.856200000046
1_4_2012-12-07,40048.502200000046
1_4_2012-12-14,39903.57530000006
1_4_2012-12-21,44201.55850000004
1_4_2012-12-28,40282.00650000006
1_4_2013-01-04,40908.6522
1_4_2013-01-11,36081.557300000015
1_4_2013-01-18,35553.11340000001
1_4_2013-01-25,35696.78990000001
1_4_2013-02-01,40491.6532
1_4_2013-02-08,40533.0777
1_4_2013-02-15,36270.61790000001
1_4_2013-02-22,35842.0545
1_4_2013-03-01,40428.158899999995
1_4_2013-03-08,40600.62960000001
1_4_2013-03-15,36403.20970000001
1_4_2013-03-22,36025.71369999999
1_4_2013-03-29,36729.894300000014
1_4_2013-04-05,41314.224299999994
1_4_2013-04-12,36122.275300000016
1_4_2013-04-19,35796.8804
1_4_2013-04-26,36087.9368
1_4_2013-05-03,42257.06304999999
1_4_2013-05-10,40718.99305000002
1_4_2013-05-17,38315.67347155328
1_4_2013-05-24,38335.72854734691
1_4_2013-05-31,38729.37386693121
1_4_2013-06-07,42539.35776999999
1_4_2013-06-14,38603.56022583899
1_4_2013-06-21,38353.36737901358
1_4_2013-06-28,38294.36465102212
1_4_2013-07-05,42701.630769999974
1_4_2013-07-12,38582.453653333345
1_4_2013-07-19,38643.62273157769
1_4_2013-07-26,38267.40340673641
1_5_2012-11-02,27250.82989999999
1_5_2012-11-09,26920.9476
1_5_2012-11-16,25544.95870000001
1_5_2012-11-23,61292.02020000005
1_5_2012-11-30,59111.907099999975
1_5_2012-12-07,39737.05559999998
1_5_2012-12-14,43841.60220000004
1_5_2012-12-21,58676.76480000004
1_5_2012-12-28,40826.57079999996
1_5_2013-01-04,24558.814800000007
1_5_2013-01-11,23549.427700000004
1_5_2013-01-18,23888.51839999998
1_5_2013-01-25,24777.288999999975
1_5_2013-02-01,35343.2908
1_5_2013-02-08,36931.8121
1_5_2013-02-15,37322.553899999984
1_5_2013-02-22,28073.164649999977
1_5_2013-03-01,27704.894149999986
1_5_2013-03-08,26202.540461904755
1_5_2013-03-15,26054.66692857143
1_5_2013-03-22,24116.12712857141
1_5_2013-03-29,24152.216699999994
1_5_2013-04-05,25725.45270000002
1_5_2013-04-12,21217.360912916673
1_5_2013-04-19,20970.575584444447
1_5_2013-04-26,20610.182049999992
1_5_2013-05-03,21656.66317715103
1_5_2013-05-10,21596.811050960547
1_5_2013-05-17,21191.673152539675
1_5_2013-05-24,21894.832870079365
1_5_2013-05-31,21365.231181746018
1_5_2013-06-07,23339.03916097498
1_5_2013-06-14,22990.87734980281
1_5_2013-06-21,23249.508445494503
1_5_2013-06-28,21080.699088412686
1_5_2013-07-05,22153.579357719485
1_5_2013-07-12,21681.764851406355
1_5_2013-07-19,21385.108665604526
1_5_2013-07-26,20299.595408412697
1_6_2012-11-02,3908.134200000001
1_6_2012-11-09,3710.068300000001
1_6_2012-11-16,3608.6942000000004
1_6_2012-11-23,16838.142300000018
1_6_2012-11-30,11830.385499999993
1_6_2012-12-07,6226.025400000001
1_6_2012-12-14,8854.971400000011
1_6_2012-12-21,17280.44340000001
1_6_2012-12-28,10468.42079999999
1_6_2013-01-04,3080.5414
1_6_2013-01-11,2693.8861666666658
1_6_2013-01-18,2677.6435999999985
